userName,score,at,content
Soleh S,1,2026-04-29 10:23:42,"scan barcode tidak bisa bisanya di Web, itupun pengiriman lama banget"
Ama No,1,2026-04-28 14:48:01,"jangan di download, karena ini aplikasi Sampah.. TIDAK BISA CEK RESI"
SAMSUL RIJAL,5,2026-04-27 03:58:46,bagai mana cara menggunakan poin yang sudah kami dapatkan?
Uman Rukmana,1,2026-04-26 23:00:45,"ribet mau cek tarif aja susah udah cape ngisi semua data klik tombol cek tarif keterangan layanan yang anda pilih tidak tersedia, semua pilihan possomeday, nextdaydn reguler sama aja hasilnya nihil. Sampah swasta aja jelas"
Eko Dwi Istiyanto,1,2026-04-25 15:07:48,"Ya beginilah kwalitas BUMN di negeri ini, gimana negara ga rugi terus, sekedar ngirim paket dari grobogan ke Bekasi aja udah 5 hari ga sampe, padahal kalo pake produk swasta paling 2 hari sampe, kapok-kapok"
fanny skylar,1,2026-04-25 08:58:26,2 kali beli paket pengiriman pake pos lama banget stuck stuck pos pengiriman deket aja kelamaaannnnnnnnnnn g usah pada pake dah daripada nyesel apalagi kalo beli beli hewan hidup
Steady Flashing,1,2026-04-24 05:34:14,"Pelayanan PoS ID yang sangat lambat, lelet, kurirnya loyo, status pesanan sudah diantarkan ,masa sih sampai 3 hari ga sampai padahal cuma satu kota, alamat tidak ditemukan lah alasan klasik"
Jacknaf Walker,5,2026-04-23 09:04:33,baru di coba dulu
Aing Macan Aing Macan,5,2026-04-23 01:39:28,"pos Indonesia semakin mudah semakin inovatif,,gebrakan selalu mengikuti perkembangan zaman"
Rizki Ramadhan,1,2026-04-22 03:06:47,"pesen pick ip dirumah, gaada yang ngambil. tiba2 history kiriman dah ilang aja, duit ilang, paket ga nyampe."
Anak Kampung,1,2026-04-22 01:21:42,playanan buruk paket tadi tnggal 17 sampe skrg masih ngejedog.. saya minta balikin duit ajah kah.
Nyai Rodiah,1,2026-04-20 07:00:40,Sangat tidak rekomend
Ezi alfian,1,2026-04-20 06:12:30,cek resi paket sudah di terima nyatanya belum
Rizaldi Djo,3,2026-04-20 02:47:48,cek resi data tidak di temukan scan barcode tidatbisa
KI AKHBAR SAMUDRO,1,2026-04-18 05:16:16,apk gak jelas buat lacak resi nggak bisa
Erna Dwi,1,2026-04-17 07:23:33,"apk yang tidak rekomendasi, pernah mau kirim lewat apk, tapi kecepatan pickup lama. untuk pengembalian dana sudah by email, datang ke kantor pos. Sampai saat ini tidak ada tindaklanjut untuk pengembalian dana saya, dan saya tidak dibantu. Malah sekarang di apk oleh cs paket sudah diterima. Padahal hal tersebut saya yang mengirim sendiri,karena kecepatan kurir yang tidak memungkinkan.saya meminta pengembalian dana, sampai saat ini tidak ada tindak lanjut.kurang rekomendasi dari segi pelayanan/apk"
ucenk D'abu,1,2026-04-16 09:59:35,"paket dari pagi sampai sore gak di antar, paket ikan hidup, hedeh gak jelas banget pos sekarang"
Shoffan Nur,1,2026-04-16 06:14:53,app aneh cek resi aja gk bisa nor barcode terus. pdhl di app lain muncul
Chandra Muhammad,1,2026-04-15 15:15:15,"bukti paket diterima g bisa diliat, payah banget"
Lady Lia,2,2026-04-14 13:26:09,sangat tidak nyaman. kayaknya emang aplikasi nya gak bisa berfungsi semestinya. gak ada efek pas dipakai. udah pilih menu ini itu eh susah ahirnya paket gak di pick up. dan aneh pas batal order jg poin jd nol. trs menu lain yg di klik jg gak berfungsi semestinya. nyebelin install ini
Dedy Supriyadi,5,2026-04-14 13:08:21,sangan memudahkan sekali
peny remasary,3,2026-04-13 10:43:50,"tolong di progres paket saya keterangan sampai, tapi saya tidak menerima nya"
Bucuk RZ,1,2026-04-13 02:36:53,"info dari pos pengirim dan pos penerima paket berbeda²... pos pengirim bilang estimasi 7 hari, sudah 10 hari paket tak kunjung sampai. ditanya ke pos penerima, dibilang itu 3 minggu dan kesalahan pos pengirim memberikan info estimasi. LUAR BIASA."
Denmas Bagus,5,2026-04-11 02:50:58,⭐⭐⭐⭐⭐
Bagoes Cinema,1,2026-04-11 02:18:40,LAMA...!!!!
Ranita Agrivina,3,2026-04-11 02:12:39,resi aku sempat tidak kebaca di apps tapi kebaca di web tolong dibenahi min nyampe paketnya datang resi terus tidak terbaca di apps
Sony Setiawan (Sonlitfan),5,2026-04-09 16:19:51,sangat bagus
Nanang Hidayat,5,2026-04-09 09:32:11,mempermudah kirim barang
delia putri,1,2026-04-09 08:07:18,gjls bgt bug trs
Rizal Efendi,1,2026-04-08 06:34:55,udah ada akun cara masuknya gmn anjg
Rahma Syahbandi,1,2026-04-07 10:22:48,"aneh, masa saya mau ngecek resi malah gak bisa, pas saya cek resi lewat google bisa"
Riyan Sahputra,1,2026-04-07 09:33:13,"baru pertama pakai pos eh bisa2 nya paket saya salah kirim ke lokasi lain dan memakai 10hari ,gila bener ini .dikira paket dari luar negeri? dalam negeri bisa salah kirim cukup bintang yang bicara.lain waktu tidak saya pakai jasa pos"
Aiiu Alwasi,1,2026-04-07 09:13:46,gk jelas. registrasi susahnya. payah
LINTANG BAGUS PRASTIO,5,2026-04-06 14:19:42,"Untuk customer servis jangan via telepon pulsa 🙏, diusahakan via whatsapp, kalo pulsa susah untuk dihubungi"
Yudhi Nugraha,1,2026-04-06 13:51:51,"udh di download bebeberapa kali pun aplikasi ga bisa di buka, mau pake jaringan apapun ga bisa di buka."
Su Geng,4,2026-04-05 06:47:39,kalau bagus 5bintzng
Ica Iya,1,2026-04-03 03:51:43,"Jelekk, jangan mau pake layanan ini. lemot"
Derix Rizky,1,2026-04-02 18:49:30,tidak profesional
Mrizal Zal,5,2026-04-02 09:46:15,Puas sesuai waktu pengiriman nya.. terima kasih..
Zulkarnaenadis 3,1,2026-03-31 03:24:51,"nggak niat aplikasi ini sumpah sudah pakai sameday malah paket gak diambil2. komplain ke email juga malahan bilang orderan tidak terdeteksi, rugi sudah bayar lagi"
Firmansyah Putra,1,2026-03-30 04:58:09,"lambat, barang dibiarin 3 hari di kota tujuan namun tidak di antarkan paket nya"
Okta Ngara,5,2026-03-30 02:30:47,mantap
Ferry MV,2,2026-03-29 15:32:46,"mau kirim paket dokumen dengan fitur pickup, tapi pas mau bayar gagal terus. padahal udah sesuai arahan dari aplikasi. pake QRIS juga keluar atau crash terus aplikasinya. tolong lah inu diperbaiki. karena akun saya belum bisa pakai fitur COD. terimakasih"
Johan Ardiansyah,1,2026-03-29 10:06:18,lamaaa pengiriman nya
Yan Conspiracy,1,2026-03-29 08:05:37,"tidak dapat utk cek no resi, justru via web malah bisa utk cek resi. Ga' sinkron antara aplikasi dg web..."
Jamaludin J,1,2026-03-28 12:55:15,"jasa pengiriman pos jelek, paketan sering kena delay tidak tepat waktu sampai ke tujuan"
